City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Puerto Ayora,EC,-0.7393,-90.3518,19.75,88,78,2.24,broken clouds
80,Verkh-Usugli,RU,52.7,115.1667,-3.94,59,5,0.96,clear sky
81,Kodiak,US,57.79,-152.4072,12.73,88,100,7.2,heavy intensity rain
82,Mar Del Plata,AR,-38.0023,-57.5575,16.16,91,0,4.63,clear sky
83,Tura,IN,25.5198,90.2201,22.08,97,96,1.14,overcast clouds
84,Santo Domingo,DO,18.5001,-69.9886,26.69,100,87,1.2,overcast clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,21.63,88,52,4.37,broken clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,30.66,66,9,3.19,clear sky
87,Hovd,MN,48.0056,91.6419,3.16,30,81,2.36,broken clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,1.59,91,100,5.74,light snow
89,Upernavik,GL,72.7868,-56.1549,-7.36,84,65,1.88,broken clouds
90,Mandurah,AU,-32.55,115.7,13.52,55,57,3.77,broken clouds
91,Grand Gaube,MU,-20.0064,57.6608,19.65,75,84,1.34,broken clouds
92,Waitati,NZ,-45.75,170.5667,3.34,99,96,5.12,overcast clouds
93,Roma,US,43.2128,-75.4557,13.82,62,0,1.54,clear sky
94,Tiksi,RU,71.6872,128.8694,-5.7,83,97,7.09,overcast clouds
95,San Antonio,US,29.4241,-98.4936,30.34,34,20,2.57,few clouds
96,Yellowknife,CA,62.456,-114.3525,2.29,75,75,6.69,broken clouds
97,Avera,US,33.194,-82.5271,18.73,35,5,0.8,clear sky
98,Bubaque,GW,11.2833,-15.8333,27.58,80,31,2.85,light rain
99,Beloha,MG,-25.1667,45.05,19.52,82,0,1.2,clear sky
100,Simao,CN,22.7886,100.9748,18.59,91,63,0.29,broken clouds
101,Rocha,UY,-34.4833,-54.3333,12.5,92,76,3.54,broken clouds
102,Severo-Kurilsk,RU,50.6789,156.125,7.47,54,63,6.58,broken clouds
103,Bossangoa,CF,6.4926,17.4552,20.85,97,95,1.0,light rain
104,Williston,US,48.147,-103.618,18.51,48,100,2.24,overcast clouds
105,Ilulissat,GL,69.2167,-51.1,-3.99,68,20,2.06,few clouds
106,Cedar City,US,37.6775,-113.0619,21.89,24,29,2.87,scattered clouds
107,Goundam,ML,16.4145,-3.6708,35.4,23,72,2.66,broken clouds
108,Vaini,TO,-21.2,-175.2,24.51,85,100,4.48,moderate rain
109,Ribeira Grande,PT,38.5167,-28.7,21.31,84,99,2.19,light rain
110,Frontera,MX,26.9333,-101.45,26.29,53,74,0.89,broken clouds
111,Jamestown,US,42.097,-79.2353,13.9,59,0,2.57,clear sky
112,Sao Filipe,CV,14.8961,-24.4956,26.16,83,54,4.43,broken clouds
113,La Rochelle,FR,46.1667,-1.15,16.04,88,0,4.63,clear sky
114,Port Antonio,JM,18.18,-76.4612,26.67,82,25,0.67,scattered clouds
115,Dikson,RU,73.5069,80.5464,-1.04,81,96,4.76,overcast clouds
116,Barrow,US,71.2906,-156.7887,2.01,80,100,6.69,overcast clouds
117,Khatanga,RU,71.9667,102.5,-16.9,100,90,1.11,overcast clouds
118,Iqaluit,CA,63.7506,-68.5145,0.39,95,100,3.58,overcast clouds
119,Port Blair,IN,11.6667,92.75,24.02,94,75,0.0,broken clouds
120,Beidao,CN,34.5686,105.8933,9.87,94,100,0.67,moderate rain
121,Ternate,ID,0.8,127.4,27.89,73,100,1.38,overcast clouds
122,Goderich,CA,43.7501,-81.7165,16.62,66,65,1.82,broken clouds
123,Yanggu,CN,36.1106,115.7753,9.99,65,65,1.08,light rain
124,Oranjemund,NA,-28.55,16.4333,12.38,92,14,3.81,few clouds
125,Lompoc,US,34.6391,-120.4579,31.12,79,40,4.12,scattered clouds
126,Yuci,CN,37.6803,112.7319,6.86,87,40,1.0,mist
127,Grindavik,IS,63.8424,-22.4338,5.26,87,75,2.57,broken clouds
128,Saint George,US,37.1041,-113.5841,31.64,21,3,1.34,clear sky
129,Concepcion,CL,-36.827,-73.0498,10.62,87,79,2.01,broken clouds
130,Barabinsk,RU,55.3571,78.357,6.88,92,100,1.38,overcast clouds
131,Ixtapa,MX,20.7,-105.2,26.89,88,44,1.0,scattered clouds
